Point,H_m,V_kmh,Maneuver,Segment_time_s,Segment_fuel_kg
1,400,260,START,0,0
2,400,320,RAZGON,1.79618,4.65269
3,970,320,PODIEM,87.6923,207.224
4,1540,320,PODIEM,87.6923,198.151
5,2110,320,PODIEM,87.6923,190.244
6,2680,320,PODIEM,87.6923,183.045
7,3250,320,PODIEM,87.6923,176.347
8,3820,320,PODIEM,87.6923,170.034
9,4390,320,PODIEM,87.6923,164.03
10,4960,320,PODIEM,87.6923,158.285
11,5530,320,PODIEM,87.6923,152.762
12,6100,320,PODIEM,87.6923,147.434
13,6100,380,RAZGON,2.56925,4.59339
14,6100,440,RAZGON,2.54418,4.60892
15,6100,500,RAZGON,2.54271,4.66658
16,6100,560,RAZGON,2.56309,4.76478
17,6100,620,RAZGON,2.60797,4.92286
18,6100,680,RAZGON,2.66516,5.13172
19,6100,740,RAZGON,2.73576,5.37219
20,6100,800,RAZGON,2.82147,5.6493
21,6100,860,RAZGON,2.92468,5.96975
